,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,Concatenated_Text
0,the shawshank redemption,drama,two imprison men bond number year find solac eventu redempt act common decenc,frank darabont,tim robbins,morgan freeman,bob gunton,william sadler,the shawshank redemption drama two imprison men bond number year find solac eventu redempt act common decenc frank darabont tim robbins morgan freeman bob gunton william sadler
1,the godfather,"crime, drama",organ crime dynasti age patriarch transfer control clandestin empir reluct son,francis ford coppola,marlon brando,al pacino,james caan,diane keaton,"the godfather crime, drama organ crime dynasti age patriarch transfer control clandestin empir reluct son francis ford coppola marlon brando al pacino james caan diane keaton"
2,the dark knight,"action, crime, drama",menac known joker wreak havoc chao peopl gotham batman must accept one greatest psycholog physic test abil fight injustic,christopher nolan,christian bale,heath ledger,aaron eckhart,michael caine,"the dark knight action, crime, drama menac known joker wreak havoc chao peopl gotham batman must accept one greatest psycholog physic test abil fight injustic christopher nolan christian bale heath ledger aaron eckhart michael caine"
3,the godfather: part ii,"crime, drama",earli life career vito corleon new york citi portray son michael expand tighten grip famili crime syndic,francis ford coppola,al pacino,robert de niro,robert duvall,diane keaton,"the godfather: part ii crime, drama earli life career vito corleon new york citi portray son michael expand tighten grip famili crime syndic francis ford coppola al pacino robert de niro robert duvall diane keaton"
4,12 angry men,"crime, drama",juri holdout attempt prevent miscarriag justic forc colleagu reconsid evid,sidney lumet,henry fonda,lee j. cobb,martin balsam,john fiedler,"12 angry men crime, drama juri holdout attempt prevent miscarriag justic forc colleagu reconsid evid sidney lumet henry fonda lee j. cobb martin balsam john fiedler"
5,the lord of the rings: the return of the king,"action, adventure, drama",gandalf aragorn lead world men sauron armi draw gaze frodo sam approach mount doom one ring,peter jackson,elijah wood,viggo mortensen,ian mckellen,orlando bloom,"the lord of the rings: the return of the king action, adventure, drama gandalf aragorn lead world men sauron armi draw gaze frodo sam approach mount doom one ring peter jackson elijah wood viggo mortensen ian mckellen orlando bloom"
6,pulp fiction,"crime, drama",live two mob hitmen boxer gangster wife pair diner bandit intertwin four tale violenc redempt,quentin tarantino,john travolta,uma thurman,samuel l. jackson,bruce willis,"pulp fiction crime, drama live two mob hitmen boxer gangster wife pair diner bandit intertwin four tale violenc redempt quentin tarantino john travolta uma thurman samuel l. jackson bruce willis"
7,schindler's list,"biography, drama, history",germanoccupi poland world war ii industrialist oskar schindler gradual becom concern jewish workforc wit persecut nazi,steven spielberg,liam neeson,ralph fiennes,ben kingsley,caroline goodall,"schindler's list biography, drama, history germanoccupi poland world war ii industrialist oskar schindler gradual becom concern jewish workforc wit persecut nazi steven spielberg liam neeson ralph fiennes ben kingsley caroline goodall"
8,inception,"action, adventure, sci-fi",thief steal corpor secret use dreamshar technolog given invers task plant idea mind ceo,christopher nolan,leonardo dicaprio,joseph gordon-levitt,elliot page,ken watanabe,"inception action, adventure, sci-fi thief steal corpor secret use dreamshar technolog given invers task plant idea mind ceo christopher nolan leonardo dicaprio joseph gordon-levitt elliot page ken watanabe"
9,fight club,drama,insomniac offic worker devilmaycar soapmak form underground fight club evolv someth much much,david fincher,brad pitt,edward norton,meat loaf,zach grenier,fight club drama insomniac offic worker devilmaycar soapmak form underground fight club evolv someth much much david fincher brad pitt edward norton meat loaf zach grenier
10,the lord of the rings: the fellowship of the ring,"action, adventure, drama",meek hobbit shire eight companion set journey destroy power one ring save middleearth dark lord sauron,peter jackson,elijah wood,ian mckellen,orlando bloom,sean bean,"the lord of the rings: the fellowship of the ring action, adventure, drama meek hobbit shire eight companion set journey destroy power one ring save middleearth dark lord sauron peter jackson elijah wood ian mckellen orlando bloom sean bean"
11,forrest gump,"drama, romance",presid kennedi johnson event vietnam waterg histor event unfold perspect alabama man iq whose desir reunit childhood sweetheart,robert zemeckis,tom hanks,robin wright,gary sinise,sally field,"forrest gump drama, romance presid kennedi johnson event vietnam waterg histor event unfold perspect alabama man iq whose desir reunit childhood sweetheart robert zemeckis tom hanks robin wright gary sinise sally field"
12,"il buono, il brutto, il cattivo",western,bounti hunt scam join two men uneasi allianc third race find fortun gold buri remot cemeteri,sergio leone,clint eastwood,eli wallach,lee van cleef,aldo giuffrè,"il buono, il brutto, il cattivo western bounti hunt scam join two men uneasi allianc third race find fortun gold buri remot cemeteri sergio leone clint eastwood eli wallach lee van cleef aldo giuffrè"
13,the lord of the rings: the two towers,"action, adventure, drama",frodo sam edg closer mordor help shifti gollum divid fellowship make stand sauron new alli saruman hord isengard,peter jackson,elijah wood,ian mckellen,viggo mortensen,orlando bloom,"the lord of the rings: the two towers action, adventure, drama frodo sam edg closer mordor help shifti gollum divid fellowship make stand sauron new alli saruman hord isengard peter jackson elijah wood ian mckellen viggo mortensen orlando bloom"
14,the matrix,"action, sci-fi",beauti stranger lead comput hacker neo forbid underworld discov shock truthth life know elabor decept evil cyberintellig,lana wachowski,lilly wachowski,keanu reeves,laurence fishburne,carrie-anne moss,"the matrix action, sci-fi beauti stranger lead comput hacker neo forbid underworld discov shock truthth life know elabor decept evil cyberintellig lana wachowski lilly wachowski keanu reeves laurence fishburne carrie-anne moss"
15,goodfellas,"biography, crime, drama",stori henri hill life mob cover relationship wife karen hill mob partner jimmi conway tommi devito italianamerican crime syndic,martin scorsese,robert de niro,ray liotta,joe pesci,lorraine bracco,"goodfellas biography, crime, drama stori henri hill life mob cover relationship wife karen hill mob partner jimmi conway tommi devito italianamerican crime syndic martin scorsese robert de niro ray liotta joe pesci lorraine bracco"
16,star wars: episode v - the empire strikes back,"action, adventure, fantasy",rebel brutal overpow empir ice planet hoth luke skywalk begin jedi train yoda friend pursu darth vader bounti hunter name boba fett galaxi,irvin kershner,mark hamill,harrison ford,carrie fisher,billy dee williams,"star wars: episode v - the empire strikes back action, adventure, fantasy rebel brutal overpow empir ice planet hoth luke skywalk begin jedi train yoda friend pursu darth vader bounti hunter name boba fett galaxi irvin kershner mark hamill harrison ford carrie fisher billy dee williams"
17,one flew over the cuckoo's nest,drama,crimin plead insan admit mental institut rebel oppress nurs ralli scare patient,milos forman,jack nicholson,louise fletcher,michael berryman,peter brocco,one flew over the cuckoo's nest drama crimin plead insan admit mental institut rebel oppress nurs ralli scare patient milos forman jack nicholson louise fletcher michael berryman peter brocco
18,hamilton,"biography, drama, history",real life one america foremost found father first secretari treasuri alexand hamilton captur live broadway richard rodger theater origin broadway cast,thomas kail,lin-manuel miranda,phillipa soo,leslie odom jr.,renée elise goldsberry,"hamilton biography, drama, history real life one america foremost found father first secretari treasuri alexand hamilton captur live broadway richard rodger theater origin broadway cast thomas kail lin-manuel miranda phillipa soo leslie odom jr. renée elise goldsberry"
19,gisaengchung,"comedy, drama, thriller",greed class discrimin threaten newli form symbiot relationship wealthi park famili destitut kim clan,bong joon ho,kang-ho song,lee sun-kyun,cho yeo-jeong,choi woo-sik,"gisaengchung comedy, drama, thriller greed class discrimin threaten newli form symbiot relationship wealthi park famili destitut kim clan bong joon ho kang-ho song lee sun-kyun cho yeo-jeong choi woo-sik"
20,soorarai pottru,drama,nedumaaran rajangam maara set make common man fli process take world capit intens industri sever enemi stand way,sudha kongara,suriya,madhavan,paresh rawal,aparna balamurali,soorarai pottru drama nedumaaran rajangam maara set make common man fli process take world capit intens industri sever enemi stand way sudha kongara suriya madhavan paresh rawal aparna balamurali
21,interstellar,"adventure, drama, sci-fi",team explor travel wormhol space attempt ensur human surviv,christopher nolan,matthew mcconaughey,anne hathaway,jessica chastain,mackenzie foy,"interstellar adventure, drama, sci-fi team explor travel wormhol space attempt ensur human surviv christopher nolan matthew mcconaughey anne hathaway jessica chastain mackenzie foy"
22,cidade de deus,"crime, drama",slum rio two kid path diverg one struggl becom photograph kingpin,fernando meirelles,kátia lund,alexandre rodrigues,leandro firmino,matheus nachtergaele,"cidade de deus crime, drama slum rio two kid path diverg one struggl becom photograph kingpin fernando meirelles kátia lund alexandre rodrigues leandro firmino matheus nachtergaele"
23,sen to chihiro no kamikakushi,"animation, adventure, family",famili move suburb sullen yearold girl wander world rule god witch spirit human chang beast,hayao miyazaki,daveigh chase,suzanne pleshette,miyu irino,rumi hiiragi,"sen to chihiro no kamikakushi animation, adventure, family famili move suburb sullen yearold girl wander world rule god witch spirit human chang beast hayao miyazaki daveigh chase suzanne pleshette miyu irino rumi hiiragi"
24,saving private ryan,"drama, war",follow normandi land group us soldier go behind enemi line retriev paratroop whose brother kill action,steven spielberg,tom hanks,matt damon,tom sizemore,edward burns,"saving private ryan drama, war follow normandi land group us soldier go behind enemi line retriev paratroop whose brother kill action steven spielberg tom hanks matt damon tom sizemore edward burns"
25,the green mile,"crime, drama, fantasy",live guard death row affect one charg black man accus child murder rape yet mysteri gift,frank darabont,tom hanks,michael clarke duncan,david morse,bonnie hunt,"the green mile crime, drama, fantasy live guard death row affect one charg black man accus child murder rape yet mysteri gift frank darabont tom hanks michael clarke duncan david morse bonnie hunt"
26,la vita è bella,"comedy, drama, romance",openmind jewish librarian son becom victim holocaust use perfect mixtur humor imagin protect son danger around camp,roberto benigni,roberto benigni,nicoletta braschi,giorgio cantarini,giustino durano,"la vita è bella comedy, drama, romance openmind jewish librarian son becom victim holocaust use perfect mixtur humor imagin protect son danger around camp roberto benigni roberto benigni nicoletta braschi giorgio cantarini giustino durano"
27,se7en,"crime, drama, mystery",two detect rooki veteran hunt serial killer use seven deadli sin motiv,david fincher,morgan freeman,brad pitt,kevin spacey,andrew kevin walker,"se7en crime, drama, mystery two detect rooki veteran hunt serial killer use seven deadli sin motiv david fincher morgan freeman brad pitt kevin spacey andrew kevin walker"
28,the silence of the lambs,"crime, drama, thriller",young fbi cadet must receiv help incarcer manipul cannib killer help catch anoth serial killer madman skin victim,jonathan demme,jodie foster,anthony hopkins,lawrence a. bonney,kasi lemmons,"the silence of the lambs crime, drama, thriller young fbi cadet must receiv help incarcer manipul cannib killer help catch anoth serial killer madman skin victim jonathan demme jodie foster anthony hopkins lawrence a. bonney kasi lemmons"
29,star wars,"action, adventure, fantasy",luke skywalk join forc jedi knight cocki pilot wookie two droid save galaxi empir worlddestroy battl station also attempt rescu princess leia mysteri darth vader,george lucas,mark hamill,harrison ford,carrie fisher,alec guinness,"star wars action, adventure, fantasy luke skywalk join forc jedi knight cocki pilot wookie two droid save galaxi empir worlddestroy battl station also attempt rescu princess leia mysteri darth vader george lucas mark hamill harrison ford carrie fisher alec guinness"
30,seppuku,"action, drama, mystery",ronin request seppuku feudal lord palac told brutal suicid anoth ronin previous visit reveal past intertwin challeng clan integr,masaki kobayashi,tatsuya nakadai,akira ishihama,shima iwashita,tetsurô tanba,"seppuku action, drama, mystery ronin request seppuku feudal lord palac told brutal suicid anoth ronin previous visit reveal past intertwin challeng clan integr masaki kobayashi tatsuya nakadai akira ishihama shima iwashita tetsurô tanba"
31,shichinin no samurai,"action, adventure, drama",poor villag attack bandit recruit seven unemploy samurai help defend,akira kurosawa,toshirô mifune,takashi shimura,keiko tsushima,yukiko shimazaki,"shichinin no samurai action, adventure, drama poor villag attack bandit recruit seven unemploy samurai help defend akira kurosawa toshirô mifune takashi shimura keiko tsushima yukiko shimazaki"
32,it's a wonderful life,"drama, family, fantasy",angel sent heaven help desper frustrat businessman show life would like never exist,frank capra,james stewart,donna reed,lionel barrymore,thomas mitchell,"it's a wonderful life drama, family, fantasy angel sent heaven help desper frustrat businessman show life would like never exist frank capra james stewart donna reed lionel barrymore thomas mitchell"
33,joker,"crime, drama, thriller",gotham citi mental troubl comedian arthur fleck disregard mistreat societi embark downward spiral revolut bloodi crime path bring facetofac alterego joker,todd phillips,joaquin phoenix,robert de niro,zazie beetz,frances conroy,"joker crime, drama, thriller gotham citi mental troubl comedian arthur fleck disregard mistreat societi embark downward spiral revolut bloodi crime path bring facetofac alterego joker todd phillips joaquin phoenix robert de niro zazie beetz frances conroy"
34,whiplash,"drama, music",promis young drummer enrol cutthroat music conservatori dream great mentor instructor stop noth realiz student potenti,damien chazelle,miles teller,j.k. simmons,melissa benoist,paul reiser,"whiplash drama, music promis young drummer enrol cutthroat music conservatori dream great mentor instructor stop noth realiz student potenti damien chazelle miles teller j.k. simmons melissa benoist paul reiser"
35,the intouchables,"biography, comedy, drama",becom quadripleg paraglid accid aristocrat hire young man project caregiv,olivier nakache,éric toledano,françois cluzet,omar sy,anne le ny,"the intouchables biography, comedy, drama becom quadripleg paraglid accid aristocrat hire young man project caregiv olivier nakache éric toledano françois cluzet omar sy anne le ny"
36,the prestige,"drama, mystery, sci-fi",tragic accid two stage magician engag battl creat ultim illus sacrif everyth outwit,christopher nolan,christian bale,hugh jackman,scarlett johansson,michael caine,"the prestige drama, mystery, sci-fi tragic accid two stage magician engag battl creat ultim illus sacrif everyth outwit christopher nolan christian bale hugh jackman scarlett johansson michael caine"
37,the departed,"crime, drama, thriller",undercov cop mole polic attempt identifi infiltr irish gang south boston,martin scorsese,leonardo dicaprio,matt damon,jack nicholson,mark wahlberg,"the departed crime, drama, thriller undercov cop mole polic attempt identifi infiltr irish gang south boston martin scorsese leonardo dicaprio matt damon jack nicholson mark wahlberg"
38,the pianist,"biography, drama, music",polish jewish musician struggl surviv destruct warsaw ghetto world war ii,roman polanski,adrien brody,thomas kretschmann,frank finlay,emilia fox,"the pianist biography, drama, music polish jewish musician struggl surviv destruct warsaw ghetto world war ii roman polanski adrien brody thomas kretschmann frank finlay emilia fox"
39,gladiator,"action, adventure, drama",former roman gener set exact vengeanc corrupt emperor murder famili sent slaveri,ridley scott,russell crowe,joaquin phoenix,connie nielsen,oliver reed,"gladiator action, adventure, drama former roman gener set exact vengeanc corrupt emperor murder famili sent slaveri ridley scott russell crowe joaquin phoenix connie nielsen oliver reed"
40,american history x,drama,former neonazi skinhead tri prevent younger brother go wrong path,tony kaye,edward norton,edward furlong,beverly d'angelo,jennifer lien,american history x drama former neonazi skinhead tri prevent younger brother go wrong path tony kaye edward norton edward furlong beverly d'angelo jennifer lien
41,the usual suspects,"crime, mystery, thriller",sole survivor tell twisti event lead horrif gun battl boat began five crimin met seemingli random polic lineup,bryan singer,kevin spacey,gabriel byrne,chazz palminteri,stephen baldwin,"the usual suspects crime, mystery, thriller sole survivor tell twisti event lead horrif gun battl boat began five crimin met seemingli random polic lineup bryan singer kevin spacey gabriel byrne chazz palminteri stephen baldwin"
42,léon,"action, crime, drama",mathilda yearold girl reluctantli taken lon profession assassin famili murder unusu relationship form becom protg learn assassin trade,luc besson,jean reno,gary oldman,natalie portman,danny aiello,"léon action, crime, drama mathilda yearold girl reluctantli taken lon profession assassin famili murder unusu relationship form becom protg learn assassin trade luc besson jean reno gary oldman natalie portman danny aiello"
43,the lion king,"animation, adventure, drama",lion princ simba father target bitter uncl want ascend throne,roger allers,rob minkoff,matthew broderick,jeremy irons,james earl jones,"the lion king animation, adventure, drama lion princ simba father target bitter uncl want ascend throne roger allers rob minkoff matthew broderick jeremy irons james earl jones"
44,terminator 2: judgment day,"action, sci-fi",cyborg ident one fail kill sarah connor must protect teenag son john connor advanc power cyborg,james cameron,arnold schwarzenegger,linda hamilton,edward furlong,robert patrick,"terminator 2: judgment day action, sci-fi cyborg ident one fail kill sarah connor must protect teenag son john connor advanc power cyborg james cameron arnold schwarzenegger linda hamilton edward furlong robert patrick"
45,nuovo cinema paradiso,"drama, romance",filmmak recal childhood fall love pictur cinema home villag form deep friendship cinema projectionist,giuseppe tornatore,philippe noiret,enzo cannavale,antonella attili,isa danieli,"nuovo cinema paradiso drama, romance filmmak recal childhood fall love pictur cinema home villag form deep friendship cinema projectionist giuseppe tornatore philippe noiret enzo cannavale antonella attili isa danieli"
46,hotaru no haka,"animation, drama, war",young boy littl sister struggl surviv japan world war ii,isao takahata,tsutomu tatsumi,ayano shiraishi,akemi yamaguchi,yoshiko shinohara,"hotaru no haka animation, drama, war young boy littl sister struggl surviv japan world war ii isao takahata tsutomu tatsumi ayano shiraishi akemi yamaguchi yoshiko shinohara"
47,back to the future,"adventure, comedy, sci-fi",marti mcfli yearold high school student accident sent thirti year past timetravel delorean invent close friend eccentr scientist doc brown,robert zemeckis,michael j. fox,christopher lloyd,lea thompson,crispin glover,"back to the future adventure, comedy, sci-fi marti mcfli yearold high school student accident sent thirti year past timetravel delorean invent close friend eccentr scientist doc brown robert zemeckis michael j. fox christopher lloyd lea thompson crispin glover"
48,once upon a time in the west,western,mysteri stranger harmonica join forc notori desperado protect beauti widow ruthless assassin work railroad,sergio leone,henry fonda,charles bronson,claudia cardinale,jason robards,once upon a time in the west western mysteri stranger harmonica join forc notori desperado protect beauti widow ruthless assassin work railroad sergio leone henry fonda charles bronson claudia cardinale jason robards
49,psycho,"horror, mystery, thriller",phoenix secretari embezzl employ client goe run check remot motel run young man domin mother,alfred hitchcock,anthony perkins,janet leigh,vera miles,john gavin,"psycho horror, mystery, thriller phoenix secretari embezzl employ client goe run check remot motel run young man domin mother alfred hitchcock anthony perkins janet leigh vera miles john gavin"
50,casablanca,"drama, romance, war",cynic expatri american cafe owner struggl decid whether help former lover fugit husband escap nazi french morocco,michael curtiz,humphrey bogart,ingrid bergman,paul henreid,claude rains,"casablanca drama, romance, war cynic expatri american cafe owner struggl decid whether help former lover fugit husband escap nazi french morocco michael curtiz humphrey bogart ingrid bergman paul henreid claude rains"
51,modern times,"comedy, drama, family",tramp struggl live modern industri societi help young homeless woman,charles chaplin,charles chaplin,paulette goddard,henry bergman,tiny sandford,"modern times comedy, drama, family tramp struggl live modern industri societi help young homeless woman charles chaplin charles chaplin paulette goddard henry bergman tiny sandford"
52,city lights,"comedy, drama, romance",aid wealthi errat tippler dewyey tramp fallen love sightless flower girl accumul money abl help medic,charles chaplin,charles chaplin,virginia cherrill,florence lee,harry myers,"city lights comedy, drama, romance aid wealthi errat tippler dewyey tramp fallen love sightless flower girl accumul money abl help medic charles chaplin charles chaplin virginia cherrill florence lee harry myers"
53,capharnaüm,drama,serv fiveyear sentenc violent crime yearold boy sue parent neglect,nadine labaki,zain al rafeea,yordanos shiferaw,boluwatife treasure bankole,kawsar al haddad,capharnaüm drama serv fiveyear sentenc violent crime yearold boy sue parent neglect nadine labaki zain al rafeea yordanos shiferaw boluwatife treasure bankole kawsar al haddad
54,ayla: the daughter of war,"biography, drama, history",amidst ravag korean war sergeant sleyman stumbl upon halffrozen littl girl parent help sight frantic scare verg death see full summari,can ulkay,erdem can,çetin tekindor,ismail hacioglu,kyung-jin lee,"ayla: the daughter of war biography, drama, history amidst ravag korean war sergeant sleyman stumbl upon halffrozen littl girl parent help sight frantic scare verg death see full summari can ulkay erdem can çetin tekindor ismail hacioglu kyung-jin lee"
55,vikram vedha,"action, crime, drama",vikram nononsens polic offic accompani simon partner hunt captur vedha smuggler murder vedha tri chang vikram life lead conflict,gayatri,pushkar,madhavan,vijay sethupathi,shraddha srinath,"vikram vedha action, crime, drama vikram nononsens polic offic accompani simon partner hunt captur vedha smuggler murder vedha tri chang vikram life lead conflict gayatri pushkar madhavan vijay sethupathi shraddha srinath"
56,kimi no na wa.,"animation, drama, fantasy",two stranger find link bizarr way connect form distanc thing keep apart,makoto shinkai,ryûnosuke kamiki,mone kamishiraishi,ryô narita,aoi yûki,"kimi no na wa. animation, drama, fantasy two stranger find link bizarr way connect form distanc thing keep apart makoto shinkai ryûnosuke kamiki mone kamishiraishi ryô narita aoi yûki"
57,dangal,"action, biography, drama",former wrestler mahavir singh phogat two wrestler daughter struggl toward glori commonwealth game face societ oppress,nitesh tiwari,aamir khan,sakshi tanwar,fatima sana shaikh,sanya malhotra,"dangal action, biography, drama former wrestler mahavir singh phogat two wrestler daughter struggl toward glori commonwealth game face societ oppress nitesh tiwari aamir khan sakshi tanwar fatima sana shaikh sanya malhotra"
58,spider-man: into the spider-verse,"animation, action, adventure",teen mile moral becom spiderman univers must join five spiderpow individu dimens stop threat realiti,bob persichetti,peter ramsey,rodney rothman,shameik moore,jake johnson,"spider-man: into the spider-verse animation, action, adventure teen mile moral becom spiderman univers must join five spiderpow individu dimens stop threat realiti bob persichetti peter ramsey rodney rothman shameik moore jake johnson"
59,avengers: endgame,"action, adventure, drama",devast event aveng infin war univers ruin help remain alli aveng assembl order revers thano action restor balanc univers,anthony russo,joe russo,robert downey jr.,chris evans,mark ruffalo,"avengers: endgame action, adventure, drama devast event aveng infin war univers ruin help remain alli aveng assembl order revers thano action restor balanc univers anthony russo joe russo robert downey jr. chris evans mark ruffalo"
60,avengers: infinity war,"action, adventure, sci-fi",aveng alli must will sacrific attempt defeat power thano blitz devast ruin put end univers,anthony russo,joe russo,robert downey jr.,chris hemsworth,mark ruffalo,"avengers: infinity war action, adventure, sci-fi aveng alli must will sacrific attempt defeat power thano blitz devast ruin put end univers anthony russo joe russo robert downey jr. chris hemsworth mark ruffalo"
61,coco,"animation, adventure, family",aspir musician miguel confront famili ancestr ban music enter land dead find greatgreatgrandfath legendari singer,lee unkrich,adrian molina,anthony gonzalez,gael garcía bernal,benjamin bratt,"coco animation, adventure, family aspir musician miguel confront famili ancestr ban music enter land dead find greatgreatgrandfath legendari singer lee unkrich adrian molina anthony gonzalez gael garcía bernal benjamin bratt"
62,django unchained,"drama, western",help german bounti hunter freed slave set rescu wife brutal mississippi plantat owner,quentin tarantino,jamie foxx,christoph waltz,leonardo dicaprio,kerry washington,"django unchained drama, western help german bounti hunter freed slave set rescu wife brutal mississippi plantat owner quentin tarantino jamie foxx christoph waltz leonardo dicaprio kerry washington"
63,the dark knight rises,"action, adventure",eight year joker reign anarchi batman help enigmat catwoman forc exil save gotham citi brutal guerrilla terrorist bane,christopher nolan,christian bale,tom hardy,anne hathaway,gary oldman,"the dark knight rises action, adventure eight year joker reign anarchi batman help enigmat catwoman forc exil save gotham citi brutal guerrilla terrorist bane christopher nolan christian bale tom hardy anne hathaway gary oldman"
64,3 idiots,"comedy, drama",two friend search long lost companion revisit colleg day recal memori friend inspir think differ even rest world call idiot,rajkumar hirani,aamir khan,madhavan,mona singh,sharman joshi,"3 idiots comedy, drama two friend search long lost companion revisit colleg day recal memori friend inspir think differ even rest world call idiot rajkumar hirani aamir khan madhavan mona singh sharman joshi"
65,taare zameen par,"drama, family",eightyearold boy thought lazi troublemak new art teacher patienc compass discov real problem behind struggl school,aamir khan,amole gupte,darsheel safary,aamir khan,tisca chopra,"taare zameen par drama, family eightyearold boy thought lazi troublemak new art teacher patienc compass discov real problem behind struggl school aamir khan amole gupte darsheel safary aamir khan tisca chopra"
66,wall·e,"animation, adventure, family",distant futur small wastecollect robot inadvert embark space journey ultim decid fate mankind,andrew stanton,ben burtt,elissa knight,jeff garlin,fred willard,"wall·e animation, adventure, family distant futur small wastecollect robot inadvert embark space journey ultim decid fate mankind andrew stanton ben burtt elissa knight jeff garlin fred willard"
67,the lives of others,"drama, mystery, thriller",east berlin agent secret polic conduct surveil writer lover find becom increasingli absorb live,florian henckel von donnersmarck,ulrich mühe,martina gedeck,sebastian koch,ulrich tukur,"the lives of others drama, mystery, thriller east berlin agent secret polic conduct surveil writer lover find becom increasingli absorb live florian henckel von donnersmarck ulrich mühe martina gedeck sebastian koch ulrich tukur"
68,oldeuboi,"action, drama, mystery",kidnap imprison fifteen year oh daesu releas find must find captor five day,chan-wook park,choi min-sik,yoo ji-tae,kang hye-jeong,kim byeong-ok,"oldeuboi action, drama, mystery kidnap imprison fifteen year oh daesu releas find must find captor five day chan-wook park choi min-sik yoo ji-tae kang hye-jeong kim byeong-ok"
69,memento,"mystery, thriller",man shortterm memori loss attempt track wife murder,christopher nolan,guy pearce,carrie-anne moss,joe pantoliano,mark boone junior,"memento mystery, thriller man shortterm memori loss attempt track wife murder christopher nolan guy pearce carrie-anne moss joe pantoliano mark boone junior"
70,mononoke-hime,"animation, action, adventure",journey find cure tatarigami curs ashitaka find middl war forest god tatara mine coloni quest also meet san mononok hime,hayao miyazaki,yôji matsuda,yuriko ishida,yûko tanaka,billy crudup,"mononoke-hime animation, action, adventure journey find cure tatarigami curs ashitaka find middl war forest god tatara mine coloni quest also meet san mononok hime hayao miyazaki yôji matsuda yuriko ishida yûko tanaka billy crudup"
71,once upon a time in america,"crime, drama",former prohibitionera jewish gangster return lower east side manhattan thirti year later must confront ghost regret old life,sergio leone,robert de niro,james woods,elizabeth mcgovern,treat williams,"once upon a time in america crime, drama former prohibitionera jewish gangster return lower east side manhattan thirti year later must confront ghost regret old life sergio leone robert de niro james woods elizabeth mcgovern treat williams"
72,raiders of the lost ark,"action, adventure",archaeologist adventur indiana jone hire us govern find ark coven adolf hitler nazi obtain awesom power,steven spielberg,harrison ford,karen allen,paul freeman,john rhys-davies,"raiders of the lost ark action, adventure archaeologist adventur indiana jone hire us govern find ark coven adolf hitler nazi obtain awesom power steven spielberg harrison ford karen allen paul freeman john rhys-davies"
73,the shining,"drama, horror",famili head isol hotel winter sinist presenc influenc father violenc psychic son see horrif forebod past futur,stanley kubrick,jack nicholson,shelley duvall,danny lloyd,scatman crothers,"the shining drama, horror famili head isol hotel winter sinist presenc influenc father violenc psychic son see horrif forebod past futur stanley kubrick jack nicholson shelley duvall danny lloyd scatman crothers"
74,apocalypse now,"drama, mystery, war",us armi offic serv vietnam task assassin renegad special forc colonel see god,francis ford coppola,martin sheen,marlon brando,robert duvall,frederic forrest,"apocalypse now drama, mystery, war us armi offic serv vietnam task assassin renegad special forc colonel see god francis ford coppola martin sheen marlon brando robert duvall frederic forrest"
75,alien,"horror, sci-fi",space merchant vessel receiv unknown transmiss distress call one crew attack mysteri life form soon realiz life cycl mere begun,ridley scott,sigourney weaver,tom skerritt,john hurt,veronica cartwright,"alien horror, sci-fi space merchant vessel receiv unknown transmiss distress call one crew attack mysteri life form soon realiz life cycl mere begun ridley scott sigourney weaver tom skerritt john hurt veronica cartwright"
76,anand,"drama, musical",stori termin ill man wish live life fullest inevit occur told best friend,hrishikesh mukherjee,rajesh khanna,amitabh bachchan,sumita sanyal,ramesh deo,"anand drama, musical stori termin ill man wish live life fullest inevit occur told best friend hrishikesh mukherjee rajesh khanna amitabh bachchan sumita sanyal ramesh deo"
77,tengoku to jigoku,"crime, drama, mystery",execut shoe compani becom victim extort chauffeur son kidnap held ransom,akira kurosawa,toshirô mifune,yutaka sada,tatsuya nakadai,kyôko kagawa,"tengoku to jigoku crime, drama, mystery execut shoe compani becom victim extort chauffeur son kidnap held ransom akira kurosawa toshirô mifune yutaka sada tatsuya nakadai kyôko kagawa"
78,dr. strangelove or: how i learned to stop worrying and love the bomb,comedy,insan gener trigger path nuclear holocaust war room full politician gener frantic tri stop,stanley kubrick,peter sellers,george c. scott,sterling hayden,keenan wynn,dr. strangelove or: how i learned to stop worrying and love the bomb comedy insan gener trigger path nuclear holocaust war room full politician gener frantic tri stop stanley kubrick peter sellers george c. scott sterling hayden keenan wynn
79,witness for the prosecution,"crime, drama, mystery",veteran british barrist must defend client murder trial surpris surpris,billy wilder,tyrone power,marlene dietrich,charles laughton,elsa lanchester,"witness for the prosecution crime, drama, mystery veteran british barrist must defend client murder trial surpris surpris billy wilder tyrone power marlene dietrich charles laughton elsa lanchester"
80,paths of glory,"drama, war",refus attack enemi posit gener accus soldier cowardic command offic must defend,stanley kubrick,kirk douglas,ralph meeker,adolphe menjou,george macready,"paths of glory drama, war refus attack enemi posit gener accus soldier cowardic command offic must defend stanley kubrick kirk douglas ralph meeker adolphe menjou george macready"
81,rear window,"mystery, thriller",wheelchairbound photograph spi neighbor apart window becom convinc one commit murder,alfred hitchcock,james stewart,grace kelly,wendell corey,thelma ritter,"rear window mystery, thriller wheelchairbound photograph spi neighbor apart window becom convinc one commit murder alfred hitchcock james stewart grace kelly wendell corey thelma ritter"
