,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,Concatenated_Text
328,lion,"biography, drama",fiveyearold indian boy adopt australian coupl get lost hundr kilomet home year later set find lost famili,garth davis,dev patel,nicole kidman,rooney mara,sunny pawar,"lion biography, drama fiveyearold indian boy adopt australian coupl get lost hundr kilomet home year later set find lost famili garth davis dev patel nicole kidman rooney mara sunny pawar"
329,the martian,"adventure, drama, sci-fi",astronaut becom strand mar team assum dead must reli ingenu find way signal earth aliv,ridley scott,matt damon,jessica chastain,kristen wiig,kate mara,"the martian adventure, drama, sci-fi astronaut becom strand mar team assum dead must reli ingenu find way signal earth aliv ridley scott matt damon jessica chastain kristen wiig kate mara"
330,zootopia,"animation, adventure, comedy",citi anthropomorph anim rooki bunni cop cynic con artist fox must work togeth uncov conspiraci,byron howard,rich moore,jared bush,ginnifer goodwin,jason bateman,"zootopia animation, adventure, comedy citi anthropomorph anim rooki bunni cop cynic con artist fox must work togeth uncov conspiraci byron howard rich moore jared bush ginnifer goodwin jason bateman"
331,bãhubali: the beginning,"action, drama",ancient india adventur dare man becom involv decadesold feud two war peopl,s.s. rajamouli,prabhas,rana daggubati,ramya krishnan,sathyaraj,"bãhubali: the beginning action, drama ancient india adventur dare man becom involv decadesold feud two war peopl s.s. rajamouli prabhas rana daggubati ramya krishnan sathyaraj"
332,kaguyahime no monogatari,"animation, adventure, drama",found insid shine stalk bamboo old bamboo cutter wife tini girl grow rapidli exquisit young ladi mysteri young princess enthral encount ultim must confront fate punish crime,isao takahata,chloë grace moretz,james caan,mary steenburgen,james marsden,"kaguyahime no monogatari animation, adventure, drama found insid shine stalk bamboo old bamboo cutter wife tini girl grow rapidli exquisit young ladi mysteri young princess enthral encount ultim must confront fate punish crime isao takahata chloë grace moretz james caan mary steenburgen james marsden"
333,wonder,"drama, family",base new york time bestsel movi tell incred inspir heartwarm stori august pullman boy facial differ enter fifth grade attend mainstream elementari school first time,stephen chbosky,jacob tremblay,owen wilson,izabela vidovic,julia roberts,"wonder drama, family base new york time bestsel movi tell incred inspir heartwarm stori august pullman boy facial differ enter fifth grade attend mainstream elementari school first time stephen chbosky jacob tremblay owen wilson izabela vidovic julia roberts"
334,gully boy,"drama, music, romance",comingofag stori base live street rapper mumbai,zoya akhtar,vijay varma,nakul roshan sahdev,ranveer singh,vijay raaz,"gully boy drama, music, romance comingofag stori base live street rapper mumbai zoya akhtar vijay varma nakul roshan sahdev ranveer singh vijay raaz"
335,special chabbis,"crime, drama, thriller",gang conmen rob promin rich businessmen politician pose cbi incom tax offic,neeraj pandey,akshay kumar,anupam kher,manoj bajpayee,jimmy sheirgill,"special chabbis crime, drama, thriller gang conmen rob promin rich businessmen politician pose cbi incom tax offic neeraj pandey akshay kumar anupam kher manoj bajpayee jimmy sheirgill"
336,short term 12,drama,someth supervis staff member residenti treatment facil navig troubl water world alongsid cowork longtim boyfriend,destin daniel cretton,brie larson,frantz turner,john gallagher jr.,kaitlyn dever,short term 12 drama someth supervis staff member residenti treatment facil navig troubl water world alongsid cowork longtim boyfriend destin daniel cretton brie larson frantz turner john gallagher jr. kaitlyn dever
337,serbuan maut 2: berandal,"action, crime, thriller",short time first raid rama goe undercov thug jakarta plan bring syndic uncov corrupt within polic forc,gareth evans,iko uwais,yayan ruhian,arifin putra,oka antara,"serbuan maut 2: berandal action, crime, thriller short time first raid rama goe undercov thug jakarta plan bring syndic uncov corrupt within polic forc gareth evans iko uwais yayan ruhian arifin putra oka antara"
