Close,Volume
168.410004,64902300
169.679993,55209200
169.589996,52472900
168.539993,48425700
167.449997,65136000
165.789993,81235400
173.570007,113316400
173.5,55962800
171.770004,45326900
173.559998,53724500
173.75,49514700
172.570007,45497800
172.070007,37266700
172.070007,42110300
172.690002,57951600
175.050003,65496700
175.160004,55772400
174.199997,43570900
171.559998,50747300
171.839996,45143500
172.990005,56058300
175.429993,54835000
177.300003,55964400
177.25,99625300
180.089996,68901800
180.949997,61945900
179.580002,121946500
179.210007,64848400
177.820007,61944600
180.570007,50214900
180.960007,48870700
183.789993,54274900
183.309998,54929100
183.949997,57462900
186.009995,65433200
184.919998,101235600
185.009995,49799100
183.960007,49515700
187,51245300
186.679993,53079300
185.270004,48088700
188.059998,50730800
189.25,51216800
189.589996,46347300
193.970001,85069600
192.460007,31458200
191.330002,46920300
191.809998,45094300
190.679993,46778000
188.610001,59922200
188.080002,46638100
189.770004,60750200
190.539993,41342300
190.690002,41573900
193.990005,50520200
193.729996,48353800
195.100006,80507300
193.130005,59581200
191.940002,71917800
192.75,45377800
193.619995,37283200
194.5,47471900
193.220001,47460200
195.830002,48291400
196.449997,38824100
195.610001,35175100
192.580002,50389300
191.169998,61235200
181.990005,115799700
178.850006,97576100
179.800003,67823000
178.190002,60378500
177.970001,54686900
177.789993,51988100
179.460007,43675600
177.449997,43622600
176.570007,46964900
174,66062900
174.490005,61114200
175.839996,46311900
177.229996,42084200
181.119995,52722800
176.380005,54945800
178.610001,51449600
180.190002,43820700
184.119995,53003900
187.649994,60813900
187.869995,60794500
189.460007,45732600
189.699997,45280000
182.910004,81755800
177.559998,112488800
178.179993,65551300
179.360001,58953100
176.300003,90370200
174.210007,84267900
175.740005,60895800
175.009995,109205100
177.970001,67257600
179.070007,51826900
175.490005,58436200
173.929993,63047900
174.789993,56725400
176.080002,46172700
171.960007,64588900
170.429993,66921800
170.690002,56294400
171.210007,51814200
173.75,52164500
172.399994,49594600
173.660004,53020300
174.910004,48527900
177.490005,57224100
178.990005,42390800
178.389999,43698000
179.800003,47551100
180.710007,56743100
178.850006,51427100
178.720001,52517000
177.149994,57549400
175.839996,54764400
175.460007,59302900
172.880005,64189300
173,55980100
173.440002,43816600
171.100006,57157000
166.889999,70625300
168.220001,58499100
170.289993,51131000
170.770004,44846000
173.970001,56934900
177.570007,77334800
176.649994,79763700
179.229996,63841300
181.820007,70530000
182.889999,49340300
182.410004,53763500
186.399994,66133400
184.800003,43627500
187.440002,60108400
188.009995,53790500
189.710007,54412900
189.690002,50922700
191.449997,46505100
190.639999,38134500
191.309998,39617700
189.970001,24048300
189.789993,40552600
190.399994,38415400
189.369995,43014200
189.949997,48794400
191.240005,45679300
189.429993,43389500
193.419998,66628400
192.320007,41089700
194.270004,47477700
195.710007,53377300
193.179993,60943700
194.710007,52696900
197.960007,70404200
198.110001,66831600
197.570007,128256700
195.889999,55751900
196.940002,40714100
194.830002,52242800
194.679993,46482500
193.600006,37122800
193.050003,28919300
193.149994,48087700
193.580002,34049900
192.529999,42628800
185.639999,82488700
184.25,58414500
181.910004,71983600
181.179993,62303300
185.559998,59144500
185.139999,42841800
186.190002,46792900
185.589996,49128400
185.919998,40444700
183.630005,65603000
182.679993,47317400
188.630005,78005800
191.559998,68741000
193.889999,60133900
195.179993,42355600
194.5,53631300
194.169998,54822100
192.419998,44594000
191.729996,47145600
188.039993,55859400
184.399994,55467800
186.860001,64885400
185.850006,102518000
187.679993,69668800
189.300003,43490800
189.410004,53439000
188.320007,40962000
188.850006,45155200
187.149994,41781900
185.039993,56529500
184.149994,54630500
183.860001,65434500
182.309998,49701400
181.559998,53665600
182.320007,41529700
184.369995,52292200
182.520004,45119700
181.160004,40867400
182.630005,54318900
181.419998,48953900
180.75,136682600
179.660004,73488000
175.100006,81510100
170.119995,95132400
169.119995,68587700
169,71765100
170.729996,76114600
172.75,60139500
173.229996,59825400
171.130005,52488700
173,72913500
172.619995,121664700
173.720001,75604200
176.080002,55215200
178.669998,53423100
171.369995,106181300
172.279999,71106600
170.850006,54288300
169.710007,57388400
173.309998,60273300
171.479996,65672700
170.029999,46240500
168.839996,49329500
169.649994,47691700
168.820007,53704400
169.580002,42055200
168.449997,37425500
169.669998,42451200
167.779999,49709300
175.039993,91070300
176.550003,101593300
172.690002,73531800
169.380005,73711200
168,50901200
167.039993,43122900
165,67772100
165.839996,48116400
166.899994,49537800
169.020004,48251800
169.889999,50558300
169.300003,44525100
